#Date/Time;of;Update:;2017-11-20;3:07:27;PM;#Player;ID;#LastName;#FirstName;#Jersey;Num;#Position;#Height;#Weight;#Birth;Date;#Age;#Birth;City;#Birth;Country;#Rookie;#Team;ID;#Team;Abbr.;#Team;City;#Team;Name
;10109;Bertans;Davis;42;F;"6'10""";210;1992-11-12;25;;;N;106;SAS;San;Antonio;Spurs;;;;;;;;;;;;;
;9239;Beverley;Patrick;2;PG;"6'1""";185;1988-07-11;29;;;N;102;LAC;Los;Angeles;Clippers;;;;;;;;;;;;;
;13804;Birch;Khem;24;C;"6'9""";220;1992-09-28;25;;Canada;Y;95;ORL;Orlando;Magic;;;;;;;;;;;;;;
;13771;Bird;Jabari;26;SG;"6'6""";198;1994-07-03;23;;;Y;82;BOS;Boston;Celtics;;;;;;;;;;;;;;
;9497;Biyombo;Bismack;18;C;"6'9""";255;1992-08-28;25;Lubumbashi;Congo;N;95;ORL;Orlando;Magic;;;;;;;;;;;;;;
;9348;Bjelica;Nemanja;88;PF;"6'10""";240;1988-05-09;29;;;N;100;MIN;Minnesota;Timberwolves;;;;;;;;;;;;;;
;9284;Black;Tarik;28;C;"6'9""";250;1991-11-21;26;;;N;109;HOU;Houston;Rockets;;;;;;;;;;;;;;
;13843;Blackmon;James;19;G;"6'4""";195;1995-04-25;22;Fort Wayne, IN;USA;Y;85;PHI;Philadelphia;76ers;;;;;;;;;;;;;;
;13864;Blakeney;Antonio;9;G;"6'4""";197;1996-10-04;21;;;Y;89;CHI;Chicago;Bulls;;;;;;;;;;;;;;
;9428;Bledsoe;Eric;2;PG;"6'1""";190;1989-12-09;27;;;N;104;PHX;Phoenix;Suns;;;;;;;;;;;;;;
;13828;Blossomgame;Jaron;;SF;"6'7""";214;;;Alpharetta, GA;USA;Y;106;SAS;San;Antonio;Spurs;;;;;;;;;;;;;
;13867;Blue;Vander;;SG;"6'5""";200;1992-07-17;25;Milwaukee, WI;USA;Y;105;LAL;Los;Angeles;Lakers;;;;;;;;;;;;;
;9114;Bogdanovic;Bojan;44;SF;"6'8""";216;1989-04-15;28;Mostar;Yugoslavia;N;87;IND;Indiana;Pacers;;;;;;;;;;;;;;
;13726;Bogdanovic;Bogdan;8;G;"6'6""";205;1992-08-18;25;;;Y;103;SAC;Sacramento;Kings;;;;;;;;;;;;;;
;9217;Bogut;Andrew;12;C;"7'0""";260;1984-11-26;32;Melbourne;Australia;N;105;LAL;Los;Angeles;Lakers;;;;;;;;;;;;;
;10106;Bolomboy;Joel;21;F;"6'9""";235;1994-01-28;23;;;N;90;MIL;Milwaukee;Bucks;;;;;;;;;;;;;;
;9434;Booker;Devin;1;SG;"6'6""";206;1996-10-30;21;;;N;104;PHX;Phoenix;Suns;;;;;;;;;;;;;;
;9508;Booker;Trevor;35;PF;"6'8""";228;1987-11-25;29;;USA;N;84;BRO;Brooklyn;Nets;;;;;;;;;;;;;;
;9308;Bosh;Chris;1;PF;"6'11""";235;1984-03-24;33;Dallas, TX;USA;N;92;MIA;Miami;Heat;;;;;;;;;;;;;;
;13766;Boucher;Chris;25;PF;"6'10""";200;1993-01-11;24;;;Y;101;GSW;Golden;State;Warriors;;;;;;;;;;;;;
;9097;Bradley;Avery;0;SG;"6'2""";180;1990-11-25;26;;;N;88;DET;Detroit;Pistons;;;;;;;;;;;;;;
;13754;Bradley;Tony;13;C;"6'10""";248;1998-01-08;19;;;Y;98;UTA;Utah;Jazz;;;;;;;;;;;;;;
;13825;Braun;Taylor;;G;"6'7""";205;;;Newberg, OR;USA;Y;98;UTA;Utah;Jazz;;;;;;;;;;;;;;
;9240;Brewer;Corey;33;SF;"6'9""";186;1986-03-04;31;;;N;105;LAL;Los;Angeles;Lakers;;;;;;;;;;;;;
;13850;Brimah;Amida;37;C;"7'0""";230;1994-02-11;23;Accra;Ghana;Y;106;SAS;San;Antonio;Spurs;;;;;;;;;;;;;
;13842;Briscoe;Isaiah;9;G;"6'3""";224;1996-04-13;21;Newark, NJ;USA;Y;97;POR;Portland;Trail;Blazers;;;;;;;;;;;;;
;10127;Brogdon;Malcolm;13;G;"6'5""";215;1992-12-11;24;;;N;90;MIL;Milwaukee;Bucks;;;;;;;;;;;;;;
;13786;Brooks;Dillon;24;SF;"6'6""";220;1996-01-22;21;;Canada;Y;107;MEM;Memphis;Grizzlies;;;;;;;;;;;;;;
;9154;Brooks;Aaron;10;PG;"6'0""";185;1985-01-13;32;Seattle, WA;USA;N;100;MIN;Minnesota;Timberwolves;;;;;;;;;;;;;;
;10090;Brown;Jaylen;7;SF;"6'7""";225;1996-08-24;21;Marietta, GA;USA;N;82;BOS;Boston;Celtics;;;;;;;;;;;;;;
;9115;Brown;Markel;22;SG;"6'3""";190;1992-01-27;25;Pineville, LA;USA;N;96;OKL;Oklahoma;City;Thunder;;;;;;;;;;;;;
;9289;Brown;Anthony;21;SF;"6'7""";210;1992-10-09;25;;;N;100;MIN;Minnesota;Timberwolves;;;;;;;;;;;;;;
;10147;Brown;Bobby;8;G;"6'2""";175;1984-09-24;33;;;N;109;HOU;Houston;Rockets;;;;;;;;;;;;;;
;9216;Brown;Lorenzo;17;G;"6'5""";189;1990-08-25;27;Roswell, GA;USA;N;81;TOR;Toronto;Raptors;;;;;;;;;;;;;;
;13789;Brown;Sterling;23;SG;"6'6""";230;1995-02-10;22;;;Y;90;MIL;Milwaukee;Bucks;;;;;;;;;;;;;;
;13922;Brown;Brett;;C;;;;;;;N;85;PHI;Philadelphia;76ers;;;;;;;;;;;;;;
;10118;Brussino;Nicolas;9;F;"6'8""";215;1993-03-01;24;Santa;Fe;Argentina;N;91;ATL;Atlanta;Hawks;;;;;;;;;;;;;
;9278;Bryant;Kobe;24;SF;"6'6""";212;1978-08-22;39;Philadelphi, PA;USA;N;105;LAL;Los;Angeles;Lakers;;;;;;;;;;;;;
;13856;Bryant;Thomas;31;C;"6'10""";248;1997-07-31;20;;;Y;105;LAL;Los;Angeles;Lakers;;;;;;;;;;;;;
;13875;Budenholzer;Michael;;C;;;;;;;N;91;ATL;Atlanta;Hawks;;;;;;;;;;;;;;
;9204;Bullock;Reggie;25;SF;"6'7""";205;1991-03-16;26;;;N;88;DET;Detroit;Pistons;;;;;;;;;;;;;;
;9504;Burke;Trey;31;PG;"6'1""";185;1992-11-12;25;Columbus, OH;USA;N;94;WAS;Washington;Wizards;;;;;;;;;;;;;;
;9507;Burks;Alec;10;SG;"6'6""";214;1991-07-20;26;;;N;98;UTA;Utah;Jazz;;;;;;;;;;;;;;
;9152;Butler;Jimmy;21;SG;"6'7""";220;1989-09-13;28;Houston, TX;USA;N;100;MIN;Minnesota;Timberwolves;;;;;;;;;;;;;;
;9465;Butler;Caron;31;SF;"6'7""";228;1980-03-12;37;;;N;103;SAC;Sacramento;Kings;;;;;;;;;;;;;;
;11948;Buycks;Dwight;;PG;"6'3""";190;1989-03-05;28;Milwaukee, WI;USA;N;88;DET;Detroit;Pistons;;;;;;;;;;;;;;
;9494;Caboclo;Bruno;20;SF;"6'9""";205;1995-09-21;22;Osasco;Brazil;N;81;TOR;Toronto;Raptors;;;;;;;;;;;;;;
;9370;Calderon;Jose;29;PG;"6'3""";210;1981-09-26;36;Villanueva;de;la;Serena;Spain;N;86;CLE;Cleveland;Cavaliers;;;;;;;;;;;
;9203;Caldwell-Pope;Kentavious;5;SG;"6'5""";205;1993-02-17;24;;;N;105;LAL;Los;Angeles;Lakers;;;;;;;;;;;;;
;9414;Canaan;Isaiah;0;SG;"6'0""";201;1991-05-20;26;;;N;109;HOU;Houston;Rockets;;;;;;;;;;;;;;
;9237;Capela;Clint;15;C;"6'10""";240;1994-05-18;23;;;N;109;HOU;Houston;Rockets;;;;;;;;;;;;;;
;13878;Carlisle;Rick;;C;;;;;;;N;108;DAL;Dallas;Mavericks;;;;;;;;;;;;;;
;9496;Carroll;DeMarre;5;SF;"6'8""";212;1986-07-26;31;Birmingham, AL;USA;N;84;BRO;Brooklyn;Nets;;;;;;;;;;;;;;
;9292;Carter;Vince;15;SG;"6'6""";220;1977-01-25;40;;;N;103;SAC;Sacramento;Kings;;;;;;;;;;;;;;
;9327;Carter-Williams;Michael;7;PG;"6'6""";190;1991-10-09;26;;;N;93;CHA;Charlotte;Hornets;;;;;;;;;;;;;;
;13860;Caruso;Alex;4;G;"6'5""";186;1994-02-28;23;;;Y;105;LAL;Los;Angeles;Lakers;;;;;;;;;;;;;
;9462;Casspi;Omri;18;SF;"6'9""";225;1988-06-20;29;;;N;101;GSW;Golden;State;Warriors;;;;;;;;;;;;;
;9461;Cauley-Stein;Willie;0;C;"7'0""";240;1993-08-18;24;;;N;103;SAC;Sacramento;Kings;;;;;;;;;;;;;;
;13840;Caupain;Troy;23;G;"6'4""";210;1995-11-29;21;New York, NY;USA;Y;95;ORL;Orlando;Magic;;;;;;;;;;;;;;
;13845;Cavanaugh;Tyler;34;F;"6'9""";239;1994-02-09;23;Syracuse, NY;USA;Y;91;ATL;Atlanta;Hawks;;;;;;;;;;;;;;
;9536;Chalmers;Mario;;PG;"6'2""";190;1986-05-18;31;Anchorage, AK;USA;N;107;MEM;Memphis;Grizzlies;;;;;;;;;;;;;;
;9435;Chandler;Tyson;4;C;"7'1""";240;1982-10-02;35;;;N;104;PHX;Phoenix;Suns;;;;;;;;;;;;;;
;9188;Chandler;Wilson;21;F;"6'8""";225;1987-05-10;30;;;N;99;DEN;Denver;Nuggets;;;;;;;;;;;;;;
;13822;Childress;Josh;;SF;"6'8""";210;1983-06-20;34;Harbor City, CA;USA;Y;99;DEN;Denver;Nuggets;;;;;;;;;;;;;;
;10144;Chriss;Marquese;;F;"6'10""";233;1997-07-02;20;;;N;104;PHX;Phoenix;Suns;;;;;;;;;;;;;;
;9258;Christmas;Rakeem;25;PF;"6'9""";250;1991-11-30;25;;;N;87;IND;Indiana;Pacers;;;;;;;;;;;;;;
;10088;Christon;Semaj;6;G;"6'3""";190;1992-11-01;25;;;N;96;OKL;Oklahoma;City;Thunder;;;;;;;;;;;;;
;9230;Clark;Ian;21;SG;"6'3""";175;1991-03-06;26;Memphis, TN;USA;N;110;NOP;New;Orleans;Pelicans;;;;;;;;;;;;;
;9283;Clarkson;Jordan;6;SG;"6'5""";185;1992-06-07;25;;;N;105;LAL;Los;Angeles;Lakers;;;;;;;;;;;;;
;13785;Clavell;Gian;8;SG;"6'4""";185;1993-11-26;23;;PuertoRico;Y;108;DAL;Dallas;Mavericks;;;;;;;;;;;;;;
;13765;Cleveland;Antonius;10;SG;"6'6""";188;1994-02-02;23;Memphis, TN;USA;Y;108;DAL;Dallas;Mavericks;;;;;;;;;;;;;;
;13910;Clifford;Steve;;C;;;;;;;N;93;CHA;Charlotte;Hornets;;;;;;;;;;;;;;
